"code_commune_INSEE","nom_commune_postal","code_postal","libelle_acheminement","ligne_5","latitude","longitude","code_commune","article","nom_commune","nom_commune_complet"
33001,"ABZAC",33230,"ABZAC",,"45.0106457764","-0.130179806678",1,,"Abzac","Abzac"
33002,"AILLAS",33124,"AILLAS",,"44.4835265148","-0.0662157307002",2,,"Aillas","Aillas"
33003,"AMBARES ET LAGRAVE",33440,"AMBARES ET LAGRAVE",,"44.9444897713","-0.500579133995",3,,"Ambarès-et-Lagrave","Ambarès-et-Lagrave"
33004,"AMBES",33810,"AMBES",,"45.0115337381","-0.548307688841",4,,"Ambès","Ambès"
33005,"ANDERNOS LES BAINS",33510,"ANDERNOS LES BAINS",,"44.754520164","-1.08109347037",5,,"Andernos-les-Bains","Andernos-les-Bains"
33006,"ANGLADE",33390,"ANGLADE",,"45.2115004641","-0.638219671471",6,,"Anglade","Anglade"
33007,"ARBANATS",33640,"ARBANATS",,"44.670996265","-0.40276700503",7,,"Arbanats","Arbanats"
33008,"ARBIS",33760,"ARBIS",,"44.6725868035","-0.2547200817",8,,"Arbis","Arbis"
33009,"ARCACHON",33120,"ARCACHON",,"44.6529002838","-1.17429790933",9,,"Arcachon","Arcachon"
33010,"ARCINS",33460,"ARCINS",,"45.0765827796","-0.70962789405",10,,"Arcins","Arcins"
33011,"ARES",33740,"ARES",,"44.7952271583","-1.07883221151",11,,"Arès","Arès"
33012,"ARSAC",33460,"ARSAC",,"44.9884555453","-0.701315089192",12,,"Arsac","Arsac"
33013,"ARTIGUES PRES BORDEAUX",33370,"ARTIGUES PRES BORDEAUX",,"44.8603385038","-0.490377864769",13,,"Artigues-près-Bordeaux","Artigues-près-Bordeaux"
33014,"LES ARTIGUES DE LUSSAC",33570,"LES ARTIGUES DE LUSSAC",,"44.9726275615","-0.140230577945",14,"Les","Artigues-de-Lussac","Les Artigues-de-Lussac"
33015,"ARVEYRES",33500,"ARVEYRES",,"44.8915609745","-0.2766650988",15,,"Arveyres","Arveyres"
33016,"ASQUES",33240,"ASQUES",,"44.948000841","-0.426140042682",16,,"Asques","Asques"
33017,"AUBIAC",33430,"AUBIAC",,"44.4707892679","-0.244457363295",17,,"Aubiac","Aubiac"
33018,"VAL DE VIRVEE",33240,"VAL DE VIRVEE","AUBIE ET ESPESSAS","45.0218017593","-0.404998298287",18,,"Val de Virvée","Val de Virvée"
33018,"VAL DE VIRVEE",33240,"VAL DE VIRVEE","SALIGNAC","45.0218017593","-0.404998298287",18,,"Val de Virvée","Val de Virvée"
33018,"VAL DE VIRVEE",33240,"VAL DE VIRVEE","ST ANTOINE","45.0218017593","-0.404998298287",18,,"Val de Virvée","Val de Virvée"
33019,"AUDENGE",33980,"AUDENGE",,"44.7138966628","-0.944173294479",19,,"Audenge","Audenge"
33020,"AURIOLLES",33790,"AURIOLLES",,"44.7369365281","0.0444966358061",20,,"Auriolles","Auriolles"
33021,"AUROS",33124,"AUROS",,"44.5076532706","-0.163740689311",21,,"Auros","Auros"
33022,"AVENSAN",33480,"AVENSAN",,"45.005403307","-0.760815427452",22,,"Avensan","Avensan"
33023,"AYGUEMORTE LES GRAVES",33640,"AYGUEMORTE LES GRAVES",,"44.702438627","-0.484145189594",23,,"Ayguemorte-les-Graves","Ayguemorte-les-Graves"
33024,"BAGAS",33190,"BAGAS",,"44.6187804528","-0.0489905524561",24,,"Bagas","Bagas"
33025,"BAIGNEAUX",33760,"BAIGNEAUX",,"44.7239086463","-0.193758554002",25,,"Baigneaux","Baigneaux"
33026,"BALIZAC",33730,"BALIZAC",,"44.4864307909","-0.448728461334",26,,"Balizac","Balizac"
33027,"BARIE",33190,"BARIE",,"44.5710681518","-0.111645415983",27,,"Barie","Barie"
33028,"BARON",33750,"BARON",,"44.8235731803","-0.317485301092",28,,"Baron","Baron"
33029,"LE BARP",33114,"LE BARP",,"44.6268462922","-0.746697894211",29,"Le","Barp","Le Barp"
33030,"BARSAC",33720,"BARSAC",,"44.6017775611","-0.323930210636",30,,"Barsac","Barsac"
33031,"BASSANNE",33190,"BASSANNE",,"44.560543686","-0.0931882578624",31,,"Bassanne","Bassanne"
33032,"BASSENS",33530,"BASSENS",,"44.9084140601","-0.525868280903",32,,"Bassens","Bassens"
33033,"BAURECH",33880,"BAURECH",,"44.7274813784","-0.433879900007",33,,"Baurech","Baurech"
33034,"BAYAS",33230,"BAYAS",,"45.0676036545","-0.209456063522",34,,"Bayas","Bayas"
33035,"BAYON SUR GIRONDE",33710,"BAYON SUR GIRONDE",,"45.0433426263","-0.609639022961",35,,"Bayon-sur-Gironde","Bayon-sur-Gironde"
33036,"BAZAS",33430,"BAZAS",,"44.4424533682","-0.212326795621",36,,"Bazas","Bazas"
33037,"BEAUTIRAN",33640,"BEAUTIRAN",,"44.7034400813","-0.459169831543",37,,"Beautiran","Beautiran"
33038,"BEGADAN",33340,"BEGADAN",,"45.3670708459","-0.8958001736",38,,"Bégadan","Bégadan"
33039,"BEGLES",33130,"BEGLES",,"44.8016009051","-0.547755768448",39,,"Bègles","Bègles"
33040,"BEGUEY",33410,"BEGUEY",,"44.6493296399","-0.325359958986",40,,"Béguey","Béguey"
33042,"BELIN BELIET",33830,"BELIN BELIET",,"44.4861918644","-0.786911494042",42,,"Belin-Béliet","Belin-Béliet"
33042,"BELIN BELIET",33830,"BELIN BELIET","BELIET","44.4861918644","-0.786911494042",42,,"Belin-Béliet","Belin-Béliet"
33043,"BELLEBAT",33760,"BELLEBAT",,"44.7382366196","-0.221985163561",43,,"Bellebat","Bellebat"
33044,"BELLEFOND",33760,"BELLEFOND",,"44.7676238446","-0.173810088464",44,,"Bellefond","Bellefond"
33045,"BELVES DE CASTILLON",33350,"BELVES DE CASTILLON",,"44.8784883678","-0.0279648094284",45,,"Belvès-de-Castillon","Belvès-de-Castillon"
33046,"BERNOS BEAULAC",33430,"BERNOS BEAULAC",,"44.3630023376","-0.259455361877",46,,"Bernos-Beaulac","Bernos-Beaulac"
33047,"BERSON",33390,"BERSON",,"45.1170453361","-0.574457509395",47,,"Berson","Berson"
33048,"BERTHEZ",33124,"BERTHEZ",,"44.4828924557","-0.128085813135",48,,"Berthez","Berthez"
33049,"BEYCHAC ET CAILLAU",33750,"BEYCHAC ET CAILLAU",,"44.8720986802","-0.371061505246",49,,"Beychac-et-Caillau","Beychac-et-Caillau"
33050,"BIEUJAC",33210,"BIEUJAC",,"44.5383649764","-0.154398483279",50,,"Bieujac","Bieujac"
33051,"BIGANOS",33380,"BIGANOS",,"44.6611063153","-0.948829442283",51,,"Biganos","Biganos"
33051,"BIGANOS",33380,"BIGANOS","FACTURE","44.6611063153","-0.948829442283",51,,"Biganos","Biganos"
33052,"LES BILLAUX",33500,"LES BILLAUX",,"44.962026014","-0.242724056573",52,"Les","Billaux","Les Billaux"
33053,"BIRAC",33430,"BIRAC",,"44.4124016589","-0.143472733247",53,,"Birac","Birac"
33054,"BLAIGNAC",33190,"BLAIGNAC",,"44.5509350184","-0.0541157193066",54,,"Blaignac","Blaignac"
33055,"BLAIGNAN",33340,"BLAIGNAN",,"45.3230869763","-0.865864603623",55,,"Blaignan","Blaignan"
33056,"BLANQUEFORT",33290,"BLANQUEFORT",,"44.9231492741","-0.612268950301",56,,"Blanquefort","Blanquefort"
33057,"BLASIMON",33540,"BLASIMON",,"44.7502132956","-0.089121338882",57,,"Blasimon","Blasimon"
33058,"BLAYE",33390,"BLAYE",,"45.127899764","-0.669707092291",58,,"Blaye","Blaye"
33059,"BLESIGNAC",33670,"BLESIGNAC",,"44.7773252644","-0.254997261945",59,,"Blésignac","Blésignac"
33060,"BOMMES",33210,"BOMMES",,"44.5529791814","-0.344933084862",60,,"Bommes","Bommes"
33061,"BONNETAN",33370,"BONNETAN",,"44.8193051355","-0.410997563502",61,,"Bonnetan","Bonnetan"
33062,"BONZAC",33910,"BONZAC",,"45.0072015945","-0.221528081748",62,,"Bonzac","Bonzac"
33063,"BORDEAUX",33000,"BORDEAUX",,"44.8572445351","-0.57369678116",63,,"Bordeaux","Bordeaux"
33063,"BORDEAUX",33100,"BORDEAUX",,"44.8572445351","-0.57369678116",63,,"Bordeaux","Bordeaux"
33063,"BORDEAUX",33200,"BORDEAUX",,"44.8572445351","-0.57369678116",63,,"Bordeaux","Bordeaux"
33063,"BORDEAUX",33300,"BORDEAUX",,"44.8572445351","-0.57369678116",63,,"Bordeaux","Bordeaux"
33063,"BORDEAUX",33800,"BORDEAUX",,"44.8572445351","-0.57369678116",63,,"Bordeaux","Bordeaux"
33064,"BOSSUGAN",33350,"BOSSUGAN",,"44.7915487429","-0.0519671900335",64,,"Bossugan","Bossugan"
33065,"BOULIAC",33270,"BOULIAC",,"44.8160953539","-0.50487313207",65,,"Bouliac","Bouliac"
33066,"BOURDELLES",33190,"BOURDELLES",,"44.5585840825","0.00571308872513",66,,"Bourdelles","Bourdelles"
33067,"BOURG",33710,"BOURG SUR GIRONDE",,"45.0398664572","-0.547187308975",67,,"Bourg","Bourg"
33068,"BOURIDEYS",33113,"BOURIDEYS",,"44.3577116761","-0.47241853929",68,,"Bourideys","Bourideys"
33069,"LE BOUSCAT",33110,"LE BOUSCAT",,"44.8661298323","-0.602121558626",69,"Le","Bouscat","Le Bouscat"
33070,"BRACH",33480,"BRACH",,"45.0409201338","-0.948184300809",70,,"Brach","Brach"
33071,"BRANNE",33420,"BRANNE",,"44.8281852222","-0.180276839156",71,,"Branne","Branne"
33072,"BRANNENS",33124,"BRANNENS",,"44.5220010151","-0.152201164676",72,,"Brannens","Brannens"
33073,"BRAUD ET ST LOUIS",33820,"BRAUD ET ST LOUIS",,"45.2544518508","-0.646204430347",73,,"Braud-et-Saint-Louis","Braud-et-Saint-Louis"
33074,"BROUQUEYRAN",33124,"BROUQUEYRAN",,"44.4879887371","-0.177790358519",74,,"Brouqueyran","Brouqueyran"
33075,"BRUGES",33520,"BRUGES",,"44.8889469436","-0.600427664273",75,,"Bruges","Bruges"
33076,"BUDOS",33720,"BUDOS",,"44.5346733151","-0.399965558931",76,,"Budos","Budos"
33077,"CABANAC ET VILLAGRAINS",33650,"CABANAC ET VILLAGRAINS",,"44.5919178983","-0.549470960581",77,,"Cabanac-et-Villagrains","Cabanac-et-Villagrains"
33078,"CABARA",33420,"CABARA",,"44.8304622766","-0.161179708223",78,,"Cabara","Cabara"
33079,"CADARSAC",33750,"CADARSAC",,"44.8620505289","-0.283663613137",79,,"Cadarsac","Cadarsac"
33080,"CADAUJAC",33140,"CADAUJAC",,"44.7463102353","-0.529387094363",80,,"Cadaujac","Cadaujac"
33081,"CADILLAC",33410,"CADILLAC",,"44.640655028","-0.305411766484",81,,"Cadillac","Cadillac"
33082,"CADILLAC EN FRONSADAIS",33240,"CADILLAC EN FRONSADAIS",,"44.9623132376","-0.373407122831",82,,"Cadillac-en-Fronsadais","Cadillac-en-Fronsadais"
33083,"CAMARSAC",33750,"CAMARSAC",,"44.8255815323","-0.368684633032",83,,"Camarsac","Camarsac"
33084,"CAMBES",33880,"CAMBES",,"44.7403794347","-0.462515708887",84,,"Cambes","Cambes"
33085,"CAMBLANES ET MEYNAC",33360,"CAMBLANES ET MEYNAC",,"44.7664526073","-0.475866480687",85,,"Camblanes-et-Meynac","Camblanes-et-Meynac"
33086,"CAMIAC ET ST DENIS",33420,"CAMIAC ET ST DENIS",,"44.7961983028","-0.292259095735",86,,"Camiac-et-Saint-Denis","Camiac-et-Saint-Denis"
33087,"CAMIRAN",33190,"CAMIRAN",,"44.6347802416","-0.0680146855411",87,,"Camiran","Camiran"
33088,"CAMPS SUR L ISLE",33660,"CAMPS SUR L ISLE",,"45.016429862","-0.0351593823599",88,,"Camps-sur-l'Isle","Camps-sur-l'Isle"
33089,"CAMPUGNAN",33390,"CAMPUGNAN",,"45.1842358526","-0.560005135989",89,,"Campugnan","Campugnan"
33090,"CANEJAN",33610,"CANEJAN",,"44.7598891584","-0.65697711026",90,,"Canéjan","Canéjan"
33091,"CANTENAC",33460,"CANTENAC",,"45.0277700491","-0.674408400113",91,,"Cantenac","Cantenac"
33092,"CANTOIS",33760,"CANTOIS",,"44.6929745463","-0.21477102235",92,,"Cantois","Cantois"
33093,"CAPIAN",33550,"CAPIAN",,"44.716585777","-0.327839975905",93,,"Capian","Capian"
33094,"CAPLONG",33220,"CAPLONG",,"44.7672577691","0.150751886414",94,,"Caplong","Caplong"
33095,"CAPTIEUX",33840,"CAPTIEUX",,"44.2537330711","-0.28409017243",95,,"Captieux","Captieux"
33096,"CARBON BLANC",33560,"CARBON BLANC",,"44.9025299083","-0.501176652356",96,,"Carbon-Blanc","Carbon-Blanc"
33097,"CARCANS",33121,"CARCANS",,"45.0847969006","-1.04933512467",97,,"Carcans","Carcans"
33097,"CARCANS",33121,"CARCANS","CARCANS PLAGE","45.0847969006","-1.04933512467",97,,"Carcans","Carcans"
33098,"CARDAN",33410,"CARDAN",,"44.682146358","-0.321636613083",98,,"Cardan","Cardan"
33099,"CARIGNAN DE BORDEAUX",33360,"CARIGNAN DE BORDEAUX",,"44.8094507679","-0.472244925995",99,,"Carignan-de-Bordeaux","Carignan-de-Bordeaux"
33100,"CARS",33390,"CARS",,"45.1284908523","-0.616952904879",100,,"Cars","Cars"
33101,"CARTELEGUE",33390,"CARTELEGUE",,"45.1912964207","-0.578370670079",101,,"Cartelègue","Cartelègue"
33102,"CASSEUIL",33190,"CASSEUIL",,"44.589045515","-0.118981195869",102,,"Casseuil","Casseuil"
33103,"CASTELMORON D ALBRET",33540,"CASTELMORON D ALBRET",,"44.6794782931","-0.0114847499916",103,,"Castelmoron-d'Albret","Castelmoron-d'Albret"
33104,"CASTELNAU DE MEDOC",33480,"CASTELNAU DE MEDOC",,"45.0074633162","-0.812848440368",104,,"Castelnau-de-Médoc","Castelnau-de-Médoc"
33105,"CASTELVIEL",33540,"CASTELVIEL",,"44.6665619029","-0.152086542362",105,,"Castelviel","Castelviel"
33106,"CASTETS EN DORTHE",33210,"CASTETS EN DORTHE",,"44.5558858175","-0.141301295122",106,,"Castets et Castillon","Castets et Castillon"
33107,"CASTILLON DE CASTETS",33210,"CASTILLON DE CASTETS",,"44.549611037","-0.109905368493",107,,"Castillon-de-Castets","Castillon-de-Castets"
33108,"CASTILLON LA BATAILLE",33350,"CASTILLON LA BATAILLE",,"44.8619054717","-0.0287795124609",108,,"Castillon-la-Bataille","Castillon-la-Bataille"
33109,"CASTRES GIRONDE",33640,"CASTRES GIRONDE",,"44.6858784947","-0.455026609065",109,,"Castres-Gironde","Castres-Gironde"
33111,"CAUDROT",33490,"CAUDROT",,"44.5846738826","-0.144878442229",111,,"Caudrot","Caudrot"
33112,"CAUMONT",33540,"CAUMONT",,"44.6957842338","-0.0109965772154",112,,"Caumont","Caumont"
33113,"CAUVIGNAC",33690,"CAUVIGNAC",,"44.4173147327","-0.0710548756183",113,,"Cauvignac","Cauvignac"
33114,"CAVIGNAC",33620,"CAVIGNAC",,"45.096401427","-0.381910358061",114,,"Cavignac","Cavignac"
33115,"CAZALIS",33113,"CAZALIS",,"44.3299796654","-0.393816052925",115,,"Cazalis","Cazalis"
33116,"CAZATS",33430,"CAZATS",,"44.473019034","-0.203200932598",116,,"Cazats","Cazats"
33117,"CAZAUGITAT",33790,"CAZAUGITAT",,"44.7152295174","0.0111309122135",117,,"Cazaugitat","Cazaugitat"
33118,"CENAC",33360,"CENAC",,"44.7826946723","-0.456684447802",118,,"Cénac","Cénac"
33119,"CENON",33150,"CENON",,"44.8548325665","-0.521018807062",119,,"Cenon","Cenon"
33120,"CERONS",33720,"CERONS",,"44.6273573941","-0.33978567872",120,,"Cérons","Cérons"
33121,"CESSAC",33760,"CESSAC",,"44.7415385665","-0.18530011295",121,,"Cessac","Cessac"
33122,"CESTAS",33610,"CESTAS",,"44.7237410966","-0.726825410115",122,,"Cestas","Cestas"
33122,"CESTAS",33610,"CESTAS","GAZINET","44.7237410966","-0.726825410115",122,,"Cestas","Cestas"
33123,"CEZAC",33620,"CEZAC",,"45.0855145427","-0.431075960608",123,,"Cézac","Cézac"
33124,"CHAMADELLE",33230,"CHAMADELLE",,"45.0983652507","-0.0904776374453",124,,"Chamadelle","Chamadelle"
33125,"CISSAC MEDOC",33250,"CISSAC MEDOC",,"45.220435054","-0.848792413525",125,,"Cissac-Médoc","Cissac-Médoc"
33126,"CIVRAC DE BLAYE",33920,"CIVRAC DE BLAYE",,"45.1112083478","-0.461315031465",126,,"Civrac-de-Blaye","Civrac-de-Blaye"
33127,"CIVRAC SUR DORDOGNE",33350,"CIVRAC SUR DORDOGNE",,"44.830355683","-0.0779777729752",127,,"Civrac-sur-Dordogne","Civrac-sur-Dordogne"
33128,"CIVRAC EN MEDOC",33340,"CIVRAC EN MEDOC",,"45.3437734218","-0.916116550254",128,,"Civrac-en-Médoc","Civrac-en-Médoc"
33129,"CLEYRAC",33540,"CLEYRAC",,"44.7187705333","-0.0383372674584",129,,"Cleyrac","Cleyrac"
33130,"COIMERES",33210,"COIMERES",,"44.5004950775","-0.212633821506",130,,"Coimères","Coimères"
33131,"COIRAC",33540,"COIRAC",,"44.6861124973","-0.172140647906",131,,"Coirac","Coirac"
33132,"COMPS",33710,"COMPS",,"45.0671200196","-0.593624837355",132,,"Comps","Comps"
33133,"COUBEYRAC",33890,"COUBEYRAC",,"44.7835191619","0.0530247676718",133,,"Coubeyrac","Coubeyrac"
33134,"COUQUEQUES",33340,"COUQUEQUES",,"45.3438294429","-0.847957119677",134,,"Couquèques","Couquèques"
33135,"COURPIAC",33760,"COURPIAC",,"44.7547642391","-0.185776017902",135,,"Courpiac","Courpiac"
33136,"COURS DE MONSEGUR",33580,"COURS DE MONSEGUR",,"44.6517777176","0.127326594393",136,,"Cours-de-Monségur","Cours-de-Monségur"
33137,"COURS LES BAINS",33690,"COURS LES BAINS",,"44.3789499034","-0.00703420614383",137,,"Cours-les-Bains","Cours-les-Bains"
33138,"COUTRAS",33230,"COUTRAS",,"45.0390867207","-0.105373715279",138,,"Coutras","Coutras"
33139,"COUTURES",33580,"COUTURES",,"44.652450698","0.0315149165133",139,,"Coutures","Coutures"
33140,"CREON",33670,"CREON",,"44.770425384","-0.343606134456",140,,"Créon","Créon"
33141,"CROIGNON",33750,"CROIGNON",,"44.8210599121","-0.344003297739",141,,"Croignon","Croignon"
33142,"CUBNEZAIS",33620,"CUBNEZAIS",,"45.0728274718","-0.419591338026",142,,"Cubnezais","Cubnezais"
33143,"CUBZAC LES PONTS",33240,"CUBZAC LES PONTS",,"44.9696352985","-0.446132776747",143,,"Cubzac-les-Ponts","Cubzac-les-Ponts"
33144,"CUDOS",33430,"CUDOS",,"44.3779081527","-0.188470066299",144,,"Cudos","Cudos"
33145,"CURSAN",33670,"CURSAN",,"44.7957089304","-0.33460674853",145,,"Cursan","Cursan"
33146,"CUSSAC FORT MEDOC",33460,"CUSSAC FORT MEDOC",,"45.1199548347","-0.72618379335",146,,"Cussac-Fort-Médoc","Cussac-Fort-Médoc"
33147,"DAIGNAC",33420,"DAIGNAC",,"44.7959422928","-0.235707900811",147,,"Daignac","Daignac"
33148,"DARDENAC",33420,"DARDENAC",,"44.7835125524","-0.239650507452",148,,"Dardenac","Dardenac"
33149,"DAUBEZE",33540,"DAUBEZE",,"44.7103814414","-0.133821716061",149,,"Daubèze","Daubèze"
33150,"DIEULIVOL",33580,"DIEULIVOL",,"44.6779870781","0.103507198819",150,,"Dieulivol","Dieulivol"
33151,"DONNEZAC",33860,"DONNEZAC",,"45.2339831114","-0.445024799507",151,,"Donnezac","Donnezac"
33152,"DONZAC",33410,"DONZAC",,"44.6490849258","-0.256631952912",152,,"Donzac","Donzac"
33153,"DOULEZON",33350,"DOULEZON",,"44.7924343715","-0.00123843132534",153,,"Doulezon","Doulezon"
33154,"LES EGLISOTTES ET CHALAURES",33230,"LES EGLISOTTES ET CHALAURES",,"45.0928940224","-0.0328830508669",154,"Les","Églisottes-et-Chalaures","Les Églisottes-et-Chalaures"
33155,"ESCAUDES",33840,"ESCAUDES",,"44.3127064082","-0.208247896337",155,,"Escaudes","Escaudes"
33156,"ESCOUSSANS",33760,"ESCOUSSANS",,"44.6790444082","-0.275955218304",156,,"Escoussans","Escoussans"
33157,"ESPIET",33420,"ESPIET",,"44.7957699657","-0.26502782545",157,,"Espiet","Espiet"
33158,"LES ESSEINTES",33190,"LES ESSEINTES",,"44.6095361075","-0.0653601250201",158,"Les","Esseintes","Les Esseintes"
33159,"ETAULIERS",33820,"ETAULIERS",,"45.2209962068","-0.581677744347",159,,"Étauliers","Étauliers"
33160,"EYNESSE",33220,"EYNESSE",,"44.819717778","0.14910058165",160,,"Eynesse","Eynesse"
33161,"EYRANS",33390,"EYRANS",,"45.1935625916","-0.60988049368",161,,"Eyrans","Eyrans"
33162,"EYSINES",33320,"EYSINES",,"44.8797152377","-0.647899474657",162,,"Eysines","Eysines"
33163,"FALEYRAS",33760,"FALEYRAS",,"44.7638937093","-0.228692967915",163,,"Faleyras","Faleyras"
33164,"FARGUES",33210,"FARGUES",,"44.5353844514","-0.294974824238",164,,"Fargues","Fargues"
33165,"FARGUES ST HILAIRE",33370,"FARGUES ST HILAIRE",,"44.819815277","-0.439992385579",165,,"Fargues-Saint-Hilaire","Fargues-Saint-Hilaire"
33166,"LE FIEU",33230,"LE FIEU",,"45.0551327657","-0.0359458641255",166,"Le","Fieu","Le Fieu"
33167,"FLOIRAC",33270,"FLOIRAC",,"44.8338094646","-0.520646895866",167,,"Floirac","Floirac"
33168,"FLAUJAGUES",33350,"FLAUJAGUES",,"44.8318741437","0.0243569080199",168,,"Flaujagues","Flaujagues"
33169,"FLOUDES",33190,"FLOUDES",,"44.5700178825","-0.0629604195492",169,,"Floudès","Floudès"
33170,"FONTET",33190,"FONTET",,"44.5553150751","-0.0279073992518",170,,"Fontet","Fontet"
33171,"FOSSES ET BALEYSSAC",33190,"FOSSES ET BALEYSSAC",,"44.5970944275","0.0500249563956",171,,"Fossès-et-Baleyssac","Fossès-et-Baleyssac"
33172,"FOURS",33390,"FOURS",,"45.1747751409","-0.633340019213",172,,"Fours","Fours"
33173,"FRANCS",33570,"FRANCS",,"44.942978361","-0.00064276030543",173,,"Francs","Francs"
33174,"FRONSAC",33126,"FRONSAC",,"44.9220632004","-0.279859692474",174,,"Fronsac","Fronsac"
33175,"FRONTENAC",33760,"FRONTENAC",,"44.7297633138","-0.144178489946",175,,"Frontenac","Frontenac"
33176,"GABARNAC",33410,"GABARNAC",,"44.6165155968","-0.262725759039",176,,"Gabarnac","Gabarnac"
33177,"GAILLAN EN MEDOC",33340,"GAILLAN EN MEDOC",,"45.3129626409","-0.987597387066",177,,"Gaillan-en-Médoc","Gaillan-en-Médoc"
33178,"GAJAC",33430,"GAJAC",,"44.4363899327","-0.134945962959",178,,"Gajac","Gajac"
33179,"GALGON",33133,"GALGON",,"44.9904736061","-0.276833438691",179,,"Galgon","Galgon"
33180,"GANS",33430,"GANS",,"44.4543319425","-0.132059806791",180,,"Gans","Gans"
33181,"GARDEGAN ET TOURTIRAC",33350,"GARDEGAN ET TOURTIRAC",,"44.8947155186","-0.0166227907125",181,,"Gardegan-et-Tourtirac","Gardegan-et-Tourtirac"
33182,"GAURIAC",33710,"GAURIAC",,"45.0640707236","-0.629412029875",182,,"Gauriac","Gauriac"
33183,"GAURIAGUET",33240,"GAURIAGUET",,"45.0457476873","-0.395962651945",183,,"Gauriaguet","Gauriaguet"
33184,"GENERAC",33920,"GENERAC",,"45.1736695574","-0.545835107473",184,,"Générac","Générac"
33185,"GENISSAC",33420,"GENISSAC",,"44.8604999548","-0.249176861403",185,,"Génissac","Génissac"
33186,"GENSAC",33890,"GENSAC",,"44.7947598908","0.0843381724535",186,,"Gensac","Gensac"
33187,"GIRONDE SUR DROPT",33190,"GIRONDE SUR DROPT",,"44.5911619768","-0.0876331035649",187,,"Gironde-sur-Dropt","Gironde-sur-Dropt"
33188,"GISCOS",33840,"GISCOS",,"44.2661947283","-0.163156901321",188,,"Giscos","Giscos"
33189,"GORNAC",33540,"GORNAC",,"44.6632972482","-0.1839383774",189,,"Gornac","Gornac"
33190,"GOUALADE",33840,"GOUALADE",,"44.3174301368","-0.121216305853",190,,"Goualade","Goualade"
33191,"GOURS",33660,"GOURS",,"44.9980305708","0.0262519757386",191,,"Gours","Gours"
33192,"GRADIGNAN",33170,"GRADIGNAN",,"44.7709411201","-0.616137682116",192,,"Gradignan","Gradignan"
33193,"GRAYAN ET L HOPITAL",33590,"GRAYAN ET L HOPITAL",,"45.4351862635","-1.10881933696",193,,"Grayan-et-l'Hôpital","Grayan-et-l'Hôpital"
33194,"GREZILLAC",33420,"GREZILLAC",,"44.8168819983","-0.218779219407",194,,"Grézillac","Grézillac"
